id,name,image_path,price,added_date,business_id,description
15970,Turtle Check Men Navy Blue Shirt,images\15970.jpg,19.13,1970-01-01 00:00:00,,
39386,Peter England Men Party Blue Jeans,images\39386.jpg,133.24,1970-01-01 00:00:00,,
59263,Titan Women Silver Watch,images\59263.jpg,151.49,1970-01-01 00:00:00,,
21379,Manchester United Men Solid Black Track Pants,images\21379.jpg,26.13,1970-01-01 00:00:00,,
53759,Puma Men Grey T-shirt,images\53759.jpg,143.98,1970-01-01 00:00:00,,
1855,Inkfruit Mens Chain Reaction T-shirt,images\1855.jpg,141.33,1970-01-01 00:00:00,,
30805,Fabindia Men Striped Green Shirt,images\30805.jpg,188.49,1970-01-01 00:00:00,,
26960,Jealous 21 Women Purple Shirt,images\26960.jpg,178.98,1970-01-01 00:00:00,,
29114,Puma Men Pack of 3 Socks,images\29114.jpg,72.64,1970-01-01 00:00:00,,
30039,Skagen Men Black Watch,images\30039.jpg,45.54,1970-01-01 00:00:00,,
9204,Puma Men Future Cat Remix SF Black Casual Shoes,images\9204.jpg,148.42,1970-01-01 00:00:00,,
48123,Fossil Women Black Huarache Weave Belt,images\48123.jpg,173.87,1970-01-01 00:00:00,,
18653,Fila Men Cush Flex Black Slippers,images\18653.jpg,90.34,1970-01-01 00:00:00,,
47957,Murcia Women Blue Handbag,images\47957.jpg,121.16,1970-01-01 00:00:00,,
46885,Ben 10 Boys Navy Blue Slippers,images\46885.jpg,129.69,1970-01-01 00:00:00,,
12369,Reid & Taylor Men Check Purple Shirts,images\12369.jpg,189.16,1970-01-01 00:00:00,,
29928,Police Men Black Dial Watch PL12889JVSB,images\29928.jpg,127.4,1970-01-01 00:00:00,,
42419,Gini and Jony Girls Knit White Top,images\42419.jpg,26.59,1970-01-01 00:00:00,,
51832,Bwitch Beige Full-Coverage Bra BW335,images\51832.jpg,110.31,1970-01-01 00:00:00,,
47359,Baggit Women Brown Handbag,images\47359.jpg,186.46,1970-01-01 00:00:00,,
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,images\17429.jpg,130.81,1970-01-01 00:00:00,,
12967,ADIDAS Men Spry M Black Sandals,images\12967.jpg,186.29,1970-01-01 00:00:00,,
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,images\6842.jpg,190.9,1970-01-01 00:00:00,,
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,images\13089.jpg,133.46,1970-01-01 00:00:00,,
18461,David Beckham Signature Men Deos,images\18461.jpg,174.29,1970-01-01 00:00:00,,
9036,Buckaroo Men Flores Black Formal Shoes,images\9036.jpg,171.32,1970-01-01 00:00:00,,
48311,Pitaraa Women Bronze Beaded Bracelet,images\48311.jpg,123.91,1970-01-01 00:00:00,,
7990,Fila Men's Round Neck Navy Blue T-shirt,images\7990.jpg,167.37,1970-01-01 00:00:00,,
56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,images\56019.jpg,79.07,1970-01-01 00:00:00,,
21977,Murcia Women Casual Brown Handbag,images\21977.jpg,197.71,1970-01-01 00:00:00,,
37812,John Players Men Navy Blue Shirt,images\37812.jpg,130.16,1970-01-01 00:00:00,,
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,images\4729.jpg,63.93,1970-01-01 00:00:00,,
56825,John Players Men Brown Shirt,images\56825.jpg,47.31,1970-01-01 00:00:00,,
39988,Gas Men Europa White Shoes,images\39988.jpg,28.5,1970-01-01 00:00:00,,
59051,Carlton London Women Black & Gold Toned Flats,images\59051.jpg,162.2,1970-01-01 00:00:00,,
20099,Diva Women Embroided Green Kurta,images\20099.jpg,79.1,1970-01-01 00:00:00,,
58183,Rocky S Women White Handbag,images\58183.jpg,117.85,1970-01-01 00:00:00,,
